RA,ANO,NOME,proba_risco_ian,pred_risco_ian,threshold_usado,modelo_usado
RA-1,2022,Aluno-1,0.377422,0,0.6,logreg
RA-2,2022,Aluno-2,0.000431,0,0.6,logreg
RA-3,2022,Aluno-3,0.001664,0,0.6,logreg
RA-4,2022,Aluno-4,7.9e-05,0,0.6,logreg
RA-5,2022,Aluno-5,0.000948,0,0.6,logreg
RA-6,2022,Aluno-6,0.375738,0,0.6,logreg
RA-7,2022,Aluno-7,0.617539,1,0.6,logreg
RA-8,2022,Aluno-8,0.093492,0,0.6,logreg
RA-9,2022,Aluno-9,0.800754,1,0.6,logreg
RA-10,2022,Aluno-10,0.425807,0,0.6,logreg
RA-11,2022,Aluno-11,0.213438,0,0.6,logreg
RA-12,2022,Aluno-12,0.000138,0,0.6,logreg
RA-13,2022,Aluno-13,0.543316,0,0.6,logreg
RA-14,2022,Aluno-14,0.148082,0,0.6,logreg
RA-15,2022,Aluno-15,0.213226,0,0.6,logreg
RA-16,2022,Aluno-16,0.073783,0,0.6,logreg
RA-17,2022,Aluno-17,0.186429,0,0.6,logreg
RA-18,2022,Aluno-18,0.137076,0,0.6,logreg
RA-19,2022,Aluno-19,0.280022,0,0.6,logreg
RA-20,2022,Aluno-20,0.317236,0,0.6,logreg
RA-21,2022,Aluno-21,0.171865,0,0.6,logreg
RA-22,2022,Aluno-22,0.745104,1,0.6,logreg
RA-23,2022,Aluno-23,0.641503,1,0.6,logreg
RA-24,2022,Aluno-24,0.797763,1,0.6,logreg
RA-25,2022,Aluno-25,0.883102,1,0.6,logreg
RA-26,2022,Aluno-26,0.787507,1,0.6,logreg
RA-27,2022,Aluno-27,0.67703,1,0.6,logreg
RA-28,2022,Aluno-28,0.369789,0,0.6,logreg
RA-29,2022,Aluno-29,0.191486,0,0.6,logreg
RA-30,2022,Aluno-30,0.001077,0,0.6,logreg
RA-31,2022,Aluno-31,0.891078,1,0.6,logreg
RA-32,2022,Aluno-32,0.000801,0,0.6,logreg
RA-33,2022,Aluno-33,0.197634,0,0.6,logreg
RA-34,2022,Aluno-34,0.253618,0,0.6,logreg
RA-35,2022,Aluno-35,0.903975,1,0.6,logreg
RA-36,2022,Aluno-36,0.84179,1,0.6,logreg
RA-37,2022,Aluno-37,0.187747,0,0.6,logreg
RA-38,2022,Aluno-38,0.881787,1,0.6,logreg
RA-39,2022,Aluno-39,0.000437,0,0.6,logreg
RA-40,2022,Aluno-40,0.261012,0,0.6,logreg
RA-41,2022,Aluno-41,0.017423,0,0.6,logreg
RA-42,2022,Aluno-42,7.5e-05,0,0.6,logreg
RA-43,2022,Aluno-43,0.080968,0,0.6,logreg
RA-44,2022,Aluno-44,0.117411,0,0.6,logreg
RA-45,2022,Aluno-45,0.000354,0,0.6,logreg
RA-46,2022,Aluno-46,0.145304,0,0.6,logreg
RA-47,2022,Aluno-47,0.098643,0,0.6,logreg
RA-48,2022,Aluno-48,0.000753,0,0.6,logreg
RA-49,2022,Aluno-49,0.175237,0,0.6,logreg
RA-50,2022,Aluno-50,0.928456,1,0.6,logreg
RA-51,2022,Aluno-51,0.056636,0,0.6,logreg
RA-52,2022,Aluno-52,6.8e-05,0,0.6,logreg
RA-53,2022,Aluno-53,0.037357,0,0.6,logreg
RA-54,2022,Aluno-54,0.036901,0,0.6,logreg
RA-55,2022,Aluno-55,0.098229,0,0.6,logreg
RA-56,2022,Aluno-56,0.000131,0,0.6,logreg
RA-57,2022,Aluno-57,0.094908,0,0.6,logreg
RA-58,2022,Aluno-58,5.7e-05,0,0.6,logreg
RA-59,2022,Aluno-59,0.088097,0,0.6,logreg
RA-60,2022,Aluno-60,0.474775,0,0.6,logreg
RA-61,2022,Aluno-61,5.2e-05,0,0.6,logreg
RA-62,2022,Aluno-62,0.08883,0,0.6,logreg
RA-63,2022,Aluno-63,0.150565,0,0.6,logreg
RA-64,2022,Aluno-64,0.089909,0,0.6,logreg
RA-65,2022,Aluno-65,0.187621,0,0.6,logreg
RA-66,2022,Aluno-66,0.021678,0,0.6,logreg
RA-67,2022,Aluno-67,0.028694,0,0.6,logreg
RA-68,2022,Aluno-68,0.067675,0,0.6,logreg
RA-69,2022,Aluno-69,0.013927,0,0.6,logreg
RA-70,2022,Aluno-70,0.036522,0,0.6,logreg
RA-71,2022,Aluno-71,0.004889,0,0.6,logreg
RA-72,2022,Aluno-72,0.252025,0,0.6,logreg
RA-73,2022,Aluno-73,0.031334,0,0.6,logreg
RA-74,2022,Aluno-74,0.005428,0,0.6,logreg
RA-75,2022,Aluno-75,0.001759,0,0.6,logreg
RA-76,2022,Aluno-76,0.000283,0,0.6,logreg
RA-77,2022,Aluno-77,0.000861,0,0.6,logreg
RA-78,2022,Aluno-78,0.042736,0,0.6,logreg
RA-79,2022,Aluno-79,0.139626,0,0.6,logreg
RA-80,2022,Aluno-80,0.129632,0,0.6,logreg
RA-81,2022,Aluno-81,0.000127,0,0.6,logreg
RA-82,2022,Aluno-82,0.05674,0,0.6,logreg
RA-83,2022,Aluno-83,0.054003,0,0.6,logreg
RA-84,2022,Aluno-84,0.099259,0,0.6,logreg
RA-85,2022,Aluno-85,1.6e-05,0,0.6,logreg
RA-86,2022,Aluno-86,0.131454,0,0.6,logreg
RA-87,2022,Aluno-87,0.000117,0,0.6,logreg
RA-88,2022,Aluno-88,0.177628,0,0.6,logreg
RA-89,2022,Aluno-89,0.065616,0,0.6,logreg
RA-90,2022,Aluno-90,0.000726,0,0.6,logreg
RA-91,2022,Aluno-91,0.097773,0,0.6,logreg
RA-92,2022,Aluno-92,0.117562,0,0.6,logreg
RA-93,2022,Aluno-93,0.000302,0,0.6,logreg
RA-94,2022,Aluno-94,0.000391,0,0.6,logreg
RA-95,2022,Aluno-95,0.038165,0,0.6,logreg
RA-96,2022,Aluno-96,0.109359,0,0.6,logreg
RA-97,2022,Aluno-97,5.5e-05,0,0.6,logreg
RA-98,2022,Aluno-98,0.000504,0,0.6,logreg
RA-99,2022,Aluno-99,0.013912,0,0.6,logreg
RA-100,2022,Aluno-100,0.000228,0,0.6,logreg
